x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
8.7927420088,0.4992892359,72.3518495871,0.3670168997,10.05572316,404.8542743,18.47534507,363.1760569,33.5686524707,410.0946478176,16.9589257612,599.5171487943
8.8997612653,0.478249409,72.202743465,0.3847176159,10.26425868,396.1216799,18.76208142,364.6421249,34.1181471889,411.9112090816,17.3086042182,587.1240158814
8.9902669782,0.4595636429,72.0322546807,0.4024007718,10.59661218,395.167754,19.04881777,364.7992036,34.6676419071,414.2865130776,17.6047604624,573.0026150079
9.0807479718,0.4404328934,71.8760110396,0.4197854038,10.76532322,397.2475924,19.33555412,365.5060578,35.2171366253,416.7634066614,17.8081448711,560.7217784285
9.1877297079,0.4187176452,71.6556427637,0.4378443488,10.96806609,406.477421,19.62229047,366.5532492,35.7666313435,418.8339418945,18.0579151976,547.5299720809
9.2865116885,0.3992058028,71.4566640315,0.4561350888,11.12446773,413.5983225,19.90902682,367.7313395,36.3161260617,421.4124250658,18.314497442,533.504981718
9.3770434941,0.3809897414,71.1578764538,0.4736250822,11.21570203,419.9338304,20.19576317,367.8098788,36.8656207799,424.0924978249,18.5768824315,519.7677012566
9.4758384229,0.3617109855,70.7093631168,0.4895250761,11.31996979,427.7092265,20.48249952,367.8098788,37.4151154981,426.7217757901,18.787799596,506.2290848776
9.5829035377,0.3414966734,70.1606700751,0.493078629,11.47637144,435.1966449,20.76923587,367.8098788,37.9646102163,429.1986693738,19.0070424381,492.5428399043
9.6900245652,0.3222888712,69.6116841364,0.4875136311,11.72400738,448.690454,21.05597222,368.8570702,38.5141049345,431.4723837823,19.2668035777,478.2752346826
9.8090559945,0.3034700058,69.0626529709,0.4805406217,11.76310779,454.4911463,21.34270857,368.9617894,39.0635996527,433.5429190154,19.4816060584,465.8524664934
9.9043411706,0.2852152803,68.5137187199,0.4765847798,11.91950943,462.55452,21.62944492,369.5901042,39.6130943709,435.156301104,19.7036241264,454.3080077946
10.003300895,0.2689030803,67.965057983,0.4811440552,12.0237772,470.3299161,21.91618127,370.218419,40.1625890892,436.3633248421,19.9561696787,441.7183410819
10.1022674858,0.2527144868,67.4165393873,0.4901285096,12.20506092,478.2885707,22.20291762,370.951453,40.7120838074,437.2655798171,20.2933596194,430.0751285614
10.2012890085,0.2375147452,66.868012177,0.4988447714,12.32354702,488.8016243,22.48965397,371.2656104,41.2615785256,438.1170399984,20.780411756,417.4863858935
